prod_key,prod_code,prod_group,Plant,brand,strength,molecule,therapy_area,form,pack_size,price
21,P00024,CANCER,Plant 7,Brand G,50MG,DOCETAXEL ANHYDROUS,CANCER,NA, ,750
22,P00026,ORTHOPEDICS,Plant 8,Brand H,60MH,ETORICOXIB,ORTHO,NA, ,870
,,,,,,,,,,
23,P00027,ORTHOPEDICS,Plant 8,Brand H,90MH,ETORICOXIB,ORTHO,TABLETS,10 TABLETS PER STRIP,809
24,P00030,ORTHOPEDICS,Plant 8,Brand H,30MH,FEBUXOSTAT,ORTHO,NA, ,658
25,P00031,ORTHOPEDICS,Plant 8,Brand H,10MH,FEBUXOSTAT,ORTHO,NA, ,193
26,P00090,ANTIDIABETIC,Plant 9,Brand I,500 MG,HYDROCHLORIED IP,ANTIDIABETIC,TABLETS,10 TABLETS PER STRIP,"1,250.00"
27,P00091,ANTIDIABETIC,Plant 9,Brand I,800 MG,GLIMEPERIDE+METFORMIN,ANTIDIABETIC,OD TABLETS,15 TABLETS PER STRIP,"1,558.00"
28,P00092,ANTIDIABETIC,Plant 9,Brand I,5 MG,METFORMIN : 1000MG,ANTIDIABETIC,OD TABLETS,15 TABLETS PER STRIP,375
29,P00093,ANTIDIABETIC,Plant 9,Brand I,1 MG,METFORMIN+PIOGLITAZONE+GLIMEPIRIDE,ANTIDIABETIC,TABLETS,10 TABLETS PER STRIP,257
30,P00094,ANTIDIABETIC,Plant 9,Brand I,7.5MG,METFORMIN+PIOGLITAZONE+GLIMEPIRIDE,ANTIDIABETIC,TABLETS,10 TABLETS PER STRIP,789
31,P00095,ANTIDIABETIC,Plant 9,Brand I,10MG,METFORMIN+PIOGLITAZONE+GLIMEPIRIDE,ANTIDIABETIC,TABLETS,10 TABLETS PER STRIP,933
32,P00129,CARDIOLOGY,Plant 10,Brand J,10MG,ISOSORBIDE MONONITRATE,CARDIOLOGY,TABLETS,10 TABLETS PER STRIP,288
33,P00130,CARDIOLOGY,Plant 10,Brand J,20MG,ISOSORBIDE MONONITRATE,CARDIOLOGY,TABLETS,10 TABLETS PER STRIP,722
34,P00131,CARDIOLOGY,Plant 10,Brand J,50MG,ISOSORBIDE MONONITRATE,CARDIOLOGY,TABLETS,10 TABLETS PER STRIP,803
35,P00224,NEUROLOGY AND PSYCHIATRY,Plant 11,Brand K,1MG,RESPERIDONE,NEUROLOGY AND PSYCHIATRY,TABLETS,10 TABLETS PER STRIP,267
,,,,,,,,,,
36,P00225,NEUROLOGY AND PSYCHIATRY,Plant 11,Brand K,2MG,RESPERIDONE,NEUROLOGY AND PSYCHIATRY,TABLETS,10 TABLETS PER STRIP,403
37,P00226,NEUROLOGY AND PSYCHIATRY,Plant 11,Brand K,5MG,"RISPERIDONE BP, TRIHEXYPHENIDYL HYDROCHLORIDE",NEUROLOGY AND PSYCHIATRY,TABLETS,10 TABLETS PER STRIP,645
38,P00227,NEUROLOGY AND PSYCHIATRY,Plant 11,Brand K,10MG,RISPERIDONE BP,NEUROLOGY AND PSYCHIATRY,TABLETS,10 TABLETS PER STRIP,791
38,P00227,NEUROLOGY AND PSYCHIATRY,Plant 11,Brand K,10MG,RISPERIDONE BP,NEUROLOGY AND PSYCHIATRY,TABLETS,10 TABLETS PER STRIP,791
39,P00228,NEUROLOGY AND PSYCHIATRY,Plant 11,Brand K,25MG,CLOZAPIN,NEUROLOGY AND PSYCHIATRY,TABLETS,10 TABLETS PER STRIP,887
40,P00232,NEUROLOGY AND PSYCHIATRY,Plant 11,Brand K,50MG,SUMATRIPTAN,NEUROLOGY AND PSYCHIATRY,TABLETS,1 TABLET PER STRIP,"1,081.00"
41,P00233,NEURO,Plant 11,Brand K,50MG,SUMATRIPTAN,NEUROLOGY AND PSYCHIATRY,TABLETS,1 TABLET PER STRIP,"3,000.00"
42,P00234,NEUROLOGY,Plant 11,Brand K,50MG,SUMATRIPTAN,NEUROLOGY AND PSYCHIATRY,TABLETS,1 TABLET PER STRIP,"1,100.00"
43,P00235,NEURO,Plant 11,Brand K,50MG,SUMATRIPTAN,NEUROLOGY AND PSYCHIATRY,TABLETS,1 TABLET PER STRIP,"2,900.00"
44,P00235,NEURO,Plant 11,Brand K,50MG,SUMATRIPTAN,NEUROLOGY AND PSYCHIATRY,TABLETS,1 TABLET PER STRIP,"2,800.00"
45,P00236,NEURO,Plant 11,Brand K,50MG,SUMATRIPTAN,NEUROLOGY AND PSYCHIATRY,TABLETS,1 TABLET PER STRIP,"2,700.00"
46,P00237,NEURO,Plant 11,Brand K,50MG,SUMATRIPTAN,NEUROLOGY AND PSYCHIATRY,TABLETS,1 TABLET PER STRIP,"2,500.00"
47,P00238,NEURO,Plant 11,Brand K,50MG,SUMATRIPTAN,NEUROLOGY AND PSYCHIATRY,TABLETS,1 TABLET PER STRIP,10.00
